,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
0,"647,654","636,610","649,198","631,405","625,047","606,726","589,094","588,467","606,616","629,049","638,974","653,389","674,763","702,901","698,981","715,455"
1,"666,653","646,061","636,678","647,731","632,160","622,608","604,168","588,494","588,473","605,860","628,916","638,106","653,264","673,836","702,255","705,564"
2,"666,376","665,539","645,252","637,781","648,488","631,498","619,857","604,188","588,929","588,337","606,504","628,418","638,653","653,097","673,762","697,230"
3,"689,521","666,798","664,663","645,144","639,823","648,296","630,733","619,968","604,518","589,037","588,955","606,383","629,180","638,649","653,303","705,619"
4,"696,964","689,807","666,841","663,596","645,728","641,499","647,151","631,369","620,767","604,917","589,642","588,849","607,146","629,196","638,786","683,333"
5,"683,636","697,756","689,640","667,335","663,453","644,829","642,693","647,844","632,543","621,666","603,767","588,922","589,330","607,241","630,217","670,398"
6,"678,987","685,356","698,232","689,964","668,692","662,037","644,718","643,033","648,812","633,043","620,485","602,985","589,342","589,524","608,232","641,578"
7,"686,547","679,638","685,661","698,566","690,270","668,208","660,424","645,363","644,130","649,605","632,060","619,749","603,506","589,690","590,595","630,147"
8,"667,491","687,075","679,893","686,522","700,096","689,566","668,481","661,067","646,352","644,977","648,427","631,508","620,335","603,940","590,739","611,534"
9,"658,166","668,472","687,231","680,530","688,139","700,420","689,651","669,118","662,064","647,050","644,160","647,833","631,903","620,541","604,841","600,322"
10,"659,211","658,603","668,795","687,388","681,654","688,276","700,555","691,493","670,404","661,483","647,243","644,149","648,827","631,651","620,959","616,336"
11,"633,134","661,046","659,274","670,070","689,173","681,792","689,223","702,547","693,030","670,123","661,967","647,517","644,882","648,566","632,178","633,082"
12,"631,028","634,589","661,779","659,659","671,496","688,918","682,125","690,925","704,043","692,388","670,434","661,974","648,283","644,631","649,056","652,737"
13,"630,737","631,802","635,845","663,517","661,164","672,315","689,695","683,973","692,659","703,453","692,896","670,716","663,004","648,264","645,221","661,321"
14,"641,919","631,521","631,777","636,816","664,967","661,105","672,803","691,562","685,836","692,179","703,952","693,084","671,515","662,905","648,791","680,532"
15,"647,690","643,098","633,011","632,670","638,015","663,407","663,855","675,685","695,917","689,485","695,952","707,497","696,515","674,657","666,664","680,783"
16,"623,902","648,173","644,251","633,808","633,707","638,205","668,607","667,873","681,371","701,234","694,921","700,702","712,181","701,030","679,740","680,979"
17,"574,249","624,503","649,178","645,104","635,462","632,257","644,386","673,206","674,480","687,584","707,762","700,765","706,546","717,699","707,323","706,234"
18,"560,887","568,893","617,410","640,644","637,429","621,939","629,706","651,553","683,322","684,819","697,865","716,417","710,447","715,269","727,736","711,491"
19,"585,907","560,341","567,120","612,662","636,417","630,994","623,983","639,081","666,097","699,159","701,417","711,385","732,198","724,370","731,634","741,667"
20,"616,658","593,674","572,612","583,232","623,235","649,885","650,430","630,466","646,355","678,431","713,123","714,876","724,816","742,392","730,922","765,895"
21,"641,645","619,169","597,651","578,248","587,010","625,049","654,509","658,777","639,450","661,801","696,557","730,192","731,767","738,242","751,070","757,901"
22,"689,858","645,487","623,121","603,681","586,301","593,765","633,233","664,327","669,307","657,958","683,606","717,028","750,044","747,990","748,774","757,295"
23,"735,976","694,075","650,220","627,799","613,351","596,737","607,306","643,154","674,948","687,992","679,240","703,444","736,860","765,752","758,254","771,297"
24,"765,113","738,807","697,224","654,015","636,934","622,405","611,418","617,169","653,587","693,265","708,610","698,458","722,720","751,995","775,764","756,449"
25,"761,611","768,771","742,493","702,149","664,591","651,097","634,056","620,132","626,204","663,879","708,558","718,067","710,905","730,892","756,146","768,415"
26,"789,361","764,809","771,276","746,693","711,110","676,989","661,780","642,149","628,574","635,666","678,566","717,280","729,568","718,556","734,815","774,921"
27,"797,870","791,634","767,314","774,539","754,963","722,462","686,972","669,345","649,548","637,020","648,372","686,160","727,630","736,650","722,080","759,889"
28,"821,498","800,923","793,126","769,915","780,721","765,682","730,969","694,099","676,539","657,488","649,223","655,977","696,003","734,391","739,828","768,860"
29,"828,854","823,474","802,895","795,569","775,702","789,257","772,777","737,420","700,342","683,508","668,253","655,748","664,549","702,007","737,169","770,810"
30,"839,464","830,670","825,380","804,450","800,452","783,525","795,055","774,388","738,974","701,180","689,409","672,553","655,721","670,484","705,432","778,986"
31,"834,959","839,712","831,796","826,639","808,551","806,549","788,891","796,499","775,736","739,757","705,966","692,782","672,157","660,442","673,368","782,510"
32,"820,099","835,152","839,898","832,155","829,771","813,775","810,507","790,153","798,046","776,215","744,256","708,977","692,364","676,542","663,237","751,251"
33,"800,463","820,287","834,788","839,713","834,327","834,542","817,625","811,528","791,243","798,111","779,708","746,548","708,419","696,100","678,842","700,825"
34,"783,895","800,182","819,500","833,417","840,291","837,995","837,431","818,516","812,509","791,460","801,095","781,730","745,863","711,666","698,218","690,775"
35,"750,051","781,868","798,398","818,032","833,470","841,365","838,927","838,860","819,784","814,028","794,944","802,245","784,264","746,262","712,180","702,024"
36,"734,350","749,613","780,582","797,436","818,730","834,371","841,755","840,237","840,017","820,950","816,851","795,745","804,222","784,339","746,572","716,419"
37,"721,830","733,943","748,590","779,202","797,510","819,176","833,711","843,043","841,318","841,197","823,574","817,479","797,641","804,441","784,694","729,013"
38,"699,611","722,162","733,333","748,018","779,267","798,005","819,083","834,831","843,971","842,131","843,443","824,095","818,984","797,756","804,646","761,347"
39,"678,490","700,053","722,408","733,448","749,026","779,869","798,196","820,049","835,670","844,481","843,851","843,784","825,290","818,776","797,586","794,300"
40,"660,893","678,308","700,052","722,216","733,461","748,903","777,366","799,955","819,502","833,925","845,650","841,855","844,012","822,964","819,774","820,805"
41,"669,465","661,062","677,917","699,751","723,157","734,508","748,237","778,495","798,957","817,520","834,506","843,448","841,863","841,555","823,668","800,550"
42,"665,110","669,234","660,993","677,407","700,510","724,333","733,776","749,169","777,769","797,111","817,882","832,329","843,213","839,403","841,981","821,037"
43,"656,327","664,311","668,635","660,907","677,772","701,767","723,963","734,559","748,201","775,743","797,086","815,669","831,869","840,734","839,515","819,650"
44,"666,749","656,287","663,771","667,910","661,642","678,438","701,205","724,493","733,665","746,192","775,646","794,856","815,185","829,434","840,637","832,297"
45,"686,826","665,064","655,377","662,134","667,434","661,661","677,097","697,259","723,468","732,090","744,653","774,522","791,582","813,951","828,685","832,727"
46,"710,241","685,379","663,417","654,563","661,454","666,800","660,629","673,386","696,132","721,927","730,534","743,318","771,440","790,208","813,048","838,064"
47,"762,017","708,465","683,531","661,646","654,122","660,582","665,378","656,879","671,933","694,300","720,196","729,062","740,239","770,011","789,223","831,041"
48,"819,530","760,688","706,531","681,666","660,229","653,706","658,606","661,631","655,365","670,071","692,497","718,662","725,777","738,691","768,914","813,798"
49,"651,635","815,636","758,949","704,611","680,282","658,832","652,317","654,848","659,945","653,317","668,044","690,638","715,498","724,126","737,396","797,077"
50,"641,457","651,057","810,971","757,067","702,469","678,952","655,799","650,609","651,690","656,339","651,265","665,303","687,918","714,270","722,343","770,066"
